DATE_TIME,STATION,TOTAL_TRAFFIC
2017-05-19 08:00:00,34 ST-PENN STA,70861.25
2017-04-26 16:00:00,23 ST,70826.5
2017-05-09 08:00:00,GRD CNTRL-42 ST,70767.8179039951
2017-04-17 08:00:00,34 ST-PENN STA,70765.42071674032
2017-04-20 16:00:00,23 ST,70736.25
2017-05-26 16:00:00,34 ST-HERALD SQ,70591.75
2017-05-17 16:00:00,23 ST,70378.0
2017-04-05 16:00:00,23 ST,70352.5
2017-03-16 12:00:00,GRD CNTRL-42 ST,70222.43946456922
2017-03-15 08:00:00,GRD CNTRL-42 ST,70097.31803989725
2017-04-20 08:00:00,GRD CNTRL-42 ST,70078.29999999907
2017-05-25 12:00:00,GRD CNTRL-42 ST,70026.45466869848
2017-05-04 08:00:00,GRD CNTRL-42 ST,69995.05609756097
2017-03-29 16:00:00,23 ST,69876.30211725831
2017-03-28 16:00:00,23 ST,69841.80211725831
2017-05-10 16:00:00,23 ST,69768.25
2017-03-27 08:00:00,GRD CNTRL-42 ST,69765.5
2017-05-26 12:00:00,GRD CNTRL-42 ST,69743.06790399516
2017-04-27 08:00:00,34 ST-PENN STA,69672.58333333027
2017-05-16 16:00:00,23 ST,69597.75
2017-05-03 16:00:00,23 ST,69564.91666667163
2017-04-06 12:00:00,GRD CNTRL-42 ST,69526.80357142666
2017-04-05 08:00:00,GRD CNTRL-42 ST,69429.80357142666
2017-05-18 12:00:00,34 ST-PENN STA,69351.82560137457
2017-03-17 16:00:00,23 ST,69234.36942496544
2017-03-13 16:00:00,23 ST,69108.0
2017-05-12 08:00:00,34 ST-PENN STA,69040.5
2017-03-15 16:00:00,23 ST,69017.14285714924
2017-05-16 08:00:00,GRD CNTRL-42 ST,68879.1929039954
2017-05-30 08:00:00,GRD CNTRL-42 ST,68839.25
2017-05-03 08:00:00,GRD CNTRL-42 ST,68791.74390243902
2017-05-17 08:00:00,GRD CNTRL-42 ST,68746.94290399516
2017-03-13 08:00:00,GRD CNTRL-42 ST,68711.5
2017-04-24 16:00:00,23 ST,68701.5
2017-05-02 16:00:00,23 ST,68686.96428571432
2017-05-09 16:00:00,23 ST,68670.5
2017-03-30 08:00:00,GRD CNTRL-42 ST,68627.72767857334
2017-05-26 16:00:00,GRD CNTRL-42 ST,68556.44290399534
2017-05-22 08:00:00,GRD CNTRL-42 ST,68520.94290399516
2017-03-17 12:00:00,34 ST-PENN STA,68495.36
2017-05-18 08:00:00,GRD CNTRL-42 ST,68407.69290399516
2017-05-24 16:00:00,23 ST,68372.19047618518
2017-04-04 16:00:00,23 ST,68371.25
2017-03-31 12:00:00,GRD CNTRL-42 ST,68364.17857143295
2017-03-29 08:00:00,GRD CNTRL-42 ST,68344.5
2017-03-17 08:00:00,GRD CNTRL-42 ST,68252.7515659359
2017-05-02 08:00:00,GRD CNTRL-42 ST,68165.66666666605
2017-05-23 16:00:00,23 ST,68110.4404761853
2017-04-06 16:00:00,23 ST,68099.25
2017-04-19 08:00:00,GRD CNTRL-42 ST,68087.25
2017-05-08 08:00:00,GRD CNTRL-42 ST,67920.19290399516
2017-05-23 08:00:00,GRD CNTRL-42 ST,67795.83996281918
2017-05-08 16:00:00,23 ST,67630.0
2017-04-26 08:00:00,GRD CNTRL-42 ST,67618.8500000028
2017-05-24 08:00:00,GRD CNTRL-42 ST,67598.08996281942
2017-05-17 12:00:00,34 ST-PENN STA,67516.12972508592
2017-04-19 12:00:00,34 ST-PENN STA,67441.71675257737
2017-03-10 16:00:00,23 ST,67401.5
2017-03-09 16:00:00,TIMES SQ-42 ST,67391.0
