DATE_TIME,STATION,TOTAL_TRAFFIC,date,time
5/1/17 16:00,34 ST-HERALD SQ,73960.25,5/1/17,16:00:00
4/27/17 16:00,23 ST,73764,4/27/17,16:00:00
3/28/17 8:00,GRD CNTRL-42 ST,73681.75,3/28/17,8:00:00
4/10/17 8:00,34 ST-PENN STA,73602.29167,4/10/17,8:00:00
4/17/17 16:00,34 ST-HERALD SQ,73575.75,4/17/17,16:00:00
4/24/17 16:00,34 ST-HERALD SQ,73538.25,4/24/17,16:00:00
3/15/17 16:00,34 ST-HERALD SQ,73525.5,3/15/17,16:00:00
5/30/17 8:00,34 ST-PENN STA,73235.75,5/30/17,8:00:00
3/6/17 16:00,23 ST,73159.25,3/6/17,16:00:00
4/20/17 8:00,34 ST-PENN STA,72998.37481,4/20/17,8:00:00
5/25/17 8:00,GRD CNTRL-42 ST,72960.12568,5/25/17,8:00:00
4/14/17 16:00,34 ST-HERALD SQ,72870.25,4/14/17,16:00:00
3/27/17 16:00,34 ST-HERALD SQ,72856.5,3/27/17,16:00:00
4/6/17 8:00,GRD CNTRL-42 ST,72774.80357,4/6/17,8:00:00
3/10/17 8:00,GRD CNTRL-42 ST,72726.3,3/10/17,8:00:00
4/11/17 8:00,34 ST-PENN STA,72676.75,4/11/17,8:00:00
4/5/17 8:00,34 ST-PENN STA,72493.5,4/5/17,8:00:00
4/3/17 8:00,34 ST-PENN STA,72455.25,4/3/17,8:00:00
5/5/17 16:00,34 ST-HERALD SQ,72389,5/5/17,16:00:00
3/3/17 16:00,23 ST,72350.25,3/3/17,16:00:00
3/13/17 16:00,34 ST-HERALD SQ,72312.75,3/13/17,16:00:00
5/26/17 12:00,34 ST-PENN STA,72296.25,5/26/17,12:00:00
5/31/17 8:00,GRD CNTRL-42 ST,71946.75,5/31/17,8:00:00
4/7/17 8:00,34 ST-PENN STA,71882.25,4/7/17,8:00:00
3/17/17 12:00,GRD CNTRL-42 ST,71810.8633,3/17/17,12:00:00
4/19/17 16:00,23 ST,71767.5,4/19/17,16:00:00
